
1d6D0 = 6 rolls
3: 5, 0.06 %
4: 31, 0.39 %
5: 80, 1.02 %
6: 211, 2.71 %
7: 405, 5.2 %
8: 776, 9.97 %
9: 1200, 15.43 %
10: 1696, 21.81 %
11: 1845, 23.72 %
12: 1526, 19.62 %

5d6D3 = 155520 rolls
3: 1, 0 %
4: 6, 0 %
5: 37, 0.02 %
6: 117, 0.07 %
7: 328, 0.21 %
8: 733, 0.47 %
9: 1509, 0.97 %
10: 2709, 1.74 %
11: 4405, 2.83 %
12: 6250, 4.01 %
13: 7776, 5 %
14: 7776, 5 %
15: 7776, 5 %
16: 7776, 5 %
17: 7776, 5 %
18: 7776, 5 %
19: 7776, 5 %
20: 7776, 5 %
21: 7776, 5 %
22: 7776, 5 %
23: 7775, 4.99 %
24: 7770, 4.99 %
25: 7739, 4.97 %
26: 7659, 4.92 %
27: 7448, 4.78 %
28: 7043, 4.52 %
29: 6267, 4.02 %
30: 5067, 3.25 %
31: 3371, 2.16 %
32: 1526, 0.98 %

5d6D3 + 1d20 + magic on 20 = 155520 rolls
3: 1, 0 %
4: 6, 0 %
5: 37, 0.02 %
6: 117, 0.07 %
7: 328, 0.21 %
8: 733, 0.47 %
9: 1509, 0.97 %
10: 2709, 1.74 %
11: 4405, 2.83 %
12: 6250, 4.01 %
13: 7776, 5 %
14: 7776, 5 %
15: 7776, 5 %
16: 7776, 5 %
17: 7776, 5 %
18: 7776, 5 %
19: 7776, 5 %
20: 7776, 5 %
21: 7776, 5 %
22: 7775, 4.99 %
23: 7770, 4.99 %
24: 7739, 4.97 %
25: 7659, 4.92 %
26: 7448, 4.78 %
27: 7043, 4.52 %
28: 6267, 4.02 %
29: 5067, 3.25 %
30: 3371, 2.16 %
31: 1526, 0.98 %
32: 7776, 5 %

6d6D4 = 46656 rolls
2: 1, 0 %
3: 6, 0.01 %
4: 63, 0.13 %
5: 192, 0.41 %
6: 665, 1.42 %
7: 1458, 3.12 %
8: 3361, 7.2 %
9: 5952, 12.75 %
10: 10071, 21.58 %
11: 12606, 27.01 %
12: 12281, 26.32 %

6d6D4 = 933120 rolls
3: 1, 0 %
4: 7, 0 %
5: 70, 0 %
6: 262, 0.02 %
7: 927, 0.09 %
8: 2385, 0.25 %
9: 5746, 0.61 %
10: 11698, 1.25 %
11: 21769, 2.33 %
12: 34375, 3.68 %
13: 46656, 5 %
14: 46656, 5 %
15: 46656, 5 %
16: 46656, 5 %
17: 46656, 5 %
18: 46656, 5 %
19: 46656, 5 %
20: 46656, 5 %
21: 46656, 5 %
22: 46656, 5 %
23: 46655, 4.99 %
24: 46649, 4.99 %
25: 46586, 4.99 %
26: 46394, 4.97 %
27: 45729, 4.9 %
28: 44271, 4.74 %
29: 40910, 4.38 %
30: 34958, 3.74 %
31: 24887, 2.66 %
32: 12281, 1.31 %

6d6D4 + 1d20 + magic on 20 = 933120 rolls
3: 1, 0 %
4: 7, 0 %
5: 70, 0 %
6: 262, 0.02 %
7: 927, 0.09 %
8: 2385, 0.25 %
9: 5746, 0.61 %
10: 11698, 1.25 %
11: 21769, 2.33 %
12: 34375, 3.68 %
13: 46656, 5 %
14: 46656, 5 %
15: 46656, 5 %
16: 46656, 5 %
17: 46656, 5 %
18: 46656, 5 %
19: 46656, 5 %
20: 46656, 5 %
21: 46656, 5 %
22: 46655, 4.99 %
23: 46649, 4.99 %
24: 46586, 4.99 %
25: 46394, 4.97 %
26: 45729, 4.9 %
27: 44271, 4.74 %
28: 40910, 4.38 %
29: 34958, 3.74 %
30: 24887, 2.66 %
31: 12281, 1.31 %
32: 46656, 5 %
